Index,Name,Price (MAD),Price Text,Image URL,Product URL,Page
1,"BOSCH TA080 M16 AGM 210 AH 1200 A BATTERIE CAMION",750010740.0,"7500dhs
10740dhs","https://batteryshop.ma/wp-content/uploads/2025/07/BOSCH-TA080-300x300.jpg","https://batteryshop.ma/shop/batteries-poids-lourd/bosch-ta080-m16-agm-210-ah-1200-a-batterie-camion/",1
2,"OPTIMA JAUNE YT S 5.5 12V 75AH 975A",45006429.0,"4500dhs
6429dhs","https://batteryshop.ma/wp-content/uploads/2023/02/OPTIMA-JAUNE-YT-S-5.5-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/optima-jaune-yts-5-5-12v-75ah-975a/",1
3,"BOSCH TE077 EFB 190 AH 1050 A BATTERIE CAMION",38005428.0,"3800dhs
5428dhs","https://batteryshop.ma/wp-content/uploads/2025/07/BOSCH-TE077-300x300.jpg","https://batteryshop.ma/shop/batteries-poids-lourd/bosch-te077-efb-190-ah-1050-a-batterie-camion/",1
4,"VARTA N9 M16 225AH 1150 A BATTERIE Camion",37005165.0,"3700dhs
5165dhs","https://batteryshop.ma/wp-content/uploads/2021/05/VARTA-N9-M16-1-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/varta-n9-m16-225ah-1150-a-batterie-camion/",1
5,"BOSCH T5080 12V 225 Ah 1150 A BATTERIE CAMION",35005000.0,"3500dhs
5000dhs","https://batteryshop.ma/wp-content/uploads/2025/04/BOSCH-T5080-1-300x300.jpg","https://batteryshop.ma/shop/batteries-poids-lourd/bosch-t5080-12v-225-ah-1150-a-batterie-camion/",1
6,"VARTA M18 M15 180AH 1000 A BATTERIE Camion",34004541.0,"3400dhs
4541dhs","https://batteryshop.ma/wp-content/uploads/2021/05/VARTA-M18-M15-2-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/varta-m18-m15-180ah-1000-a-batterie-camion/",1
7,"EXIDE EF2353 POWER PRO M16 12V 235Ah/1300A BATTERIE CAMION",29003867.0,"2900dhs
3867dhs","https://batteryshop.ma/wp-content/uploads/2022/09/EXIDE-EF2353-POWER-PRO-M16-1-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-ef2353-power-pro-m16-12v-235ah-1300a-batterie-camion/",1
8,"BOSCH T4077 12V 170 Ah 1000 A BATTERIE CAMION",28004000.0,"2800dhs
4000dhs","https://batteryshop.ma/wp-content/uploads/2025/04/BOSCH-T4077-300x300.jpg","https://batteryshop.ma/shop/batteries-poids-lourd/bosch-t4077-12v-170-ah-1000-a-batterie-camion/",1
9,"BOSCH T3054 12V 154 Ah 1150 A BATTERIE CAMION",26003600.0,"2600dhs
3600dhs","https://batteryshop.ma/wp-content/uploads/2025/04/BOSCH-T3054-e1745419295531-300x300.jpg","https://batteryshop.ma/shop/batteries-poids-lourd/bosch-t3054-12v-154-ah-1150-a-batterie-camion/",1
10,"Vtpower VT2253 M16 12V 225Ah 1300A Batterie Auto",25503680.0,"2550dhs
3680dhs","https://batteryshop.ma/wp-content/uploads/2023/01/Vtpower-VT2253-1-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/vtpower-vt2253-m16-12v-225ah-1300a-batterie-auto/",1
11,"EXIDE EG2153 M16 210AH 1200 A BATTERIE CAMION",25002941.0,"2500dhs
2941dhs","https://batteryshop.ma/wp-content/uploads/2021/05/EXIDE-EG2153-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-eg2153-m16-210ah-1200-a-batterie-camion/",1
12,"EXIDE EF1853 POWER PRO M15 12V 185Ah/1150A BATTERIE CAMION",24003067.0,"2400dhs
3067dhs","https://batteryshop.ma/wp-content/uploads/2022/09/EXIDE-EF1853-POWER-PRO-M15-1-1-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-ef1853-power-pro-m15-12v-185ah-1150a-batterie-camion/",1
13,"VARTA H17 PRO MOTIVE 105 AH 800 A Batterie Agricole et Camion",24003000.0,"2400dhs
3000dhs","https://batteryshop.ma/wp-content/uploads/2022/03/VARTA-H17-PRO-MOTIVE-1-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/varta-h17-pro-motive-105-ah-800-a-batterie-agricole-et-camion/",2
14,"VARTA K8 M14 140AH 800 A BATTERIE Camion",23903190.0,"2390dhs
3190dhs","https://batteryshop.ma/wp-content/uploads/2021/05/VARTA-K8-M14-1-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/varta-k8-m14-140ah-800-a-batterie-camion/",2
15,"EXIDE EG1803 M15 180AH 1000 A BATTERIE CAMION",21502530.0,"2150dhs
2530dhs","https://batteryshop.ma/wp-content/uploads/2021/05/EXIDE-EG1803-M15-1-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-eg1803-m15-180ah-1000-a-batterie-camion/",2
16,"Vtpower VT1803 M15 12V 180Ah 1050A Batterie Auto",19002714.0,"1900dhs
2714dhs","https://batteryshop.ma/wp-content/uploads/2023/01/Vtpower-VT1803-2-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/vtpower-vt1803-m15-12v-180ah-1050a-batterie-auto/",2
17,"EXIDE EF1453 POWER PRO M14 12V 145Ah/1050A BATTERIE CAMION",18502467.0,"1850dhs
2467dhs","https://batteryshop.ma/wp-content/uploads/2022/09/EXIDE-EF1453-POWER-PRO-M14-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-ef1453-power-pro-m14-12v-145ah-1050a-batterie-camion/",2
18,"Vtpower VT1403 M14 12V 140Ah 900A Batterie Auto",17002428.0,"1700dhs
2428dhs","https://batteryshop.ma/wp-content/uploads/2023/01/Vtpower-VT1403-2-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/vtpower-vt1403-m14-12v-140ah-900a-batterie-auto/",2
19,"EXIDE EG1403 M14 140AH 800 A BATTERIE CAMION",16001900.0,"1600dhs
1900dhs","https://batteryshop.ma/wp-content/uploads/2021/05/EXIDE-EG1403-1-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-eg1403-m14-140ah-800-a-batterie-camion/",2
20,"EXIDE EG1101 START PRO 12V 110Ah/750A Batterie camion",None,"","https://batteryshop.ma/wp-content/uploads/2022/09/EXIDE-EG1101-START-PRO-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-eg1101-start-pro-12v-110ah-750a-batterie-camion/",2
21,"EXIDE EG1100 START PRO 12V 110Ah/750A Batterie camion",None,"","https://batteryshop.ma/wp-content/uploads/2022/09/EXIDE-EG1100-START-PRO-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-eg1100-start-pro-12v-110ah-750a-batterie-camion/",2
22,"EXIDE EG1008 START PRO 12V 100Ah/680A Batterie camion",None,"","https://batteryshop.ma/wp-content/uploads/2022/09/EXIDE-EG1008-START-PRO-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/exide-eg1008-start-pro-12v-100ah-680a-batterie-camion/",2
